State,City,Accommodation_Daily,Food_Daily,Transport_Daily,Expenditure_Daily,Description,Image_URL,Rating,Distance_Hub,Travel_Type,Local_Dish
Kuala Lumpur,Kuala Lumpur District 14,186,111,28,50,A beautiful spot in Kuala Lumpur perfect for Leisure.,https://picsum.photos/seed/Kuala Lumpur14/400/250,4.1,13,Modern,Char Kway Teow
Kuala Lumpur,Kuala Lumpur District 15,184,68,19,50,A beautiful spot in Kuala Lumpur perfect for Modern.,https://picsum.photos/seed/Kuala Lumpur15/400/250,4.6,57,Nature,Char Kway Teow
Kuala Lumpur,Kuala Lumpur District 16,129,37,14,50,A beautiful spot in Kuala Lumpur perfect for History.,https://picsum.photos/seed/Kuala Lumpur16/400/250,3.7,24,Modern,Char Kway Teow
Kuala Lumpur,Kuala Lumpur District 17,349,107,37,50,A beautiful spot in Kuala Lumpur perfect for Foodie.,https://picsum.photos/seed/Kuala Lumpur17/400/250,4.5,65,Nature,Char Kway Teow
Kuala Lumpur,Kuala Lumpur District 18,256,97,80,50,A beautiful spot in Kuala Lumpur perfect for Leisure.,https://picsum.photos/seed/Kuala Lumpur18/400/250,3.7,87,Nature,Laksa
Kuala Lumpur,Kuala Lumpur District 19,366,44,42,50,A beautiful spot in Kuala Lumpur perfect for Nature.,https://picsum.photos/seed/Kuala Lumpur19/400/250,4.5,120,Foodie,Laksa
Kuala Lumpur,Kuala Lumpur District 20,341,107,57,50,A beautiful spot in Kuala Lumpur perfect for History.,https://picsum.photos/seed/Kuala Lumpur20/400/250,5.0,68,Nature,Laksa
Kuala Lumpur,Kuala Lumpur District 21,334,36,77,50,A beautiful spot in Kuala Lumpur perfect for History.,https://picsum.photos/seed/Kuala Lumpur21/400/250,4.9,140,Foodie,Char Kway Teow
Kuala Lumpur,Kuala Lumpur District 22,177,111,61,50,A beautiful spot in Kuala Lumpur perfect for Adventure.,https://picsum.photos/seed/Kuala Lumpur22/400/250,4.0,39,Adventure,Roti Canai
Kuala Lumpur,Kuala Lumpur District 23,188,40,52,50,A beautiful spot in Kuala Lumpur perfect for Leisure.,https://picsum.photos/seed/Kuala Lumpur23/400/250,4.2,133,Foodie,Laksa
Kuala Lumpur,Kuala Lumpur District 24,146,62,53,50,A beautiful spot in Kuala Lumpur perfect for Modern.,https://picsum.photos/seed/Kuala Lumpur24/400/250,4.3,43,Modern,Char Kway Teow
Kuala Lumpur,Kuala Lumpur District 25,210,104,66,50,A beautiful spot in Kuala Lumpur perfect for Modern.,https://picsum.photos/seed/Kuala Lumpur25/400/250,4.8,47,Leisure,Nasi Lemak
Kuala Lumpur,Kuala Lumpur District 26,161,44,50,50,A beautiful spot in Kuala Lumpur perfect for Nature.,https://picsum.photos/seed/Kuala Lumpur26/400/250,4.7,85,Foodie,Char Kway Teow
Kuala Lumpur,Kuala Lumpur District 27,283,83,38,50,A beautiful spot in Kuala Lumpur perfect for Foodie.,https://picsum.photos/seed/Kuala Lumpur27/400/250,4.5,143,Nature,Nasi Lemak
Kuala Lumpur,Kuala Lumpur District 28,309,95,66,50,A beautiful spot in Kuala Lumpur perfect for Adventure.,https://picsum.photos/seed/Kuala Lumpur28/400/250,4.3,35,History,Laksa
Kuala Lumpur,Kuala Lumpur District 29,227,68,42,50,A beautiful spot in Kuala Lumpur perfect for Adventure.,https://picsum.photos/seed/Kuala Lumpur29/400/250,4.5,79,Nature,Roti Canai
Selangor,Selangor District 1,366,65,23,50,A beautiful spot in Selangor perfect for Modern.,https://picsum.photos/seed/Selangor1/400/250,4.6,27,History,Char Kway Teow
Selangor,Selangor District 2,69,98,73,50,A beautiful spot in Selangor perfect for Foodie.,https://picsum.photos/seed/Selangor2/400/250,4.3,52,Nature,Cendol
Selangor,Selangor District 3,60,38,12,50,A beautiful spot in Selangor perfect for Adventure.,https://picsum.photos/seed/Selangor3/400/250,4.2,147,Leisure,Nasi Lemak
Selangor,Selangor District 4,302,105,19,50,A beautiful spot in Selangor perfect for Modern.,https://picsum.photos/seed/Selangor4/400/250,4.5,18,Foodie,Laksa
Selangor,Selangor District 5,382,85,59,50,A beautiful spot in Selangor perfect for Foodie.,https://picsum.photos/seed/Selangor5/400/250,3.8,117,Foodie,Cendol
Selangor,Selangor District 6,156,84,62,50,A beautiful spot in Selangor perfect for Foodie.,https://picsum.photos/seed/Selangor6/400/250,3.6,79,Modern,Satay
Selangor,Selangor District 7,290,76,32,50,A beautiful spot in Selangor perfect for Modern.,https://picsum.photos/seed/Selangor7/400/250,4.3,93,Modern,Nasi Lemak
Selangor,Selangor District 8,179,103,18,50,A beautiful spot in Selangor perfect for Foodie.,https://picsum.photos/seed/Selangor8/400/250,4.3,29,Foodie,Nasi Lemak
Selangor,Selangor District 9,374,72,23,50,A beautiful spot in Selangor perfect for Leisure.,https://picsum.photos/seed/Selangor9/400/250,4.0,16,Leisure,Nasi Lemak
Selangor,Selangor District 10,336,65,39,50,A beautiful spot in Selangor perfect for Foodie.,https://picsum.photos/seed/Selangor10/400/250,3.6,29,Foodie,Nasi Lemak
Selangor,Selangor District 11,192,55,26,50,A beautiful spot in Selangor perfect for Adventure.,https://picsum.photos/seed/Selangor11/400/250,3.7,35,Foodie,Nasi Lemak
Selangor,Selangor District 12,227,120,75,50,A beautiful spot in Selangor perfect for Leisure.,https://picsum.photos/seed/Selangor12/400/250,3.5,138,Modern,Cendol
Selangor,Selangor District 13,255,47,54,50,A beautiful spot in Selangor perfect for Nature.,https://picsum.photos/seed/Selangor13/400/250,4.4,49,Modern,Nasi Lemak
Selangor,Selangor District 14,260,58,41,50,A beautiful spot in Selangor perfect for Adventure.,https://picsum.photos/seed/Selangor14/400/250,4.8,55,History,Roti Canai
Selangor,Selangor District 15,257,104,71,50,A beautiful spot in Selangor perfect for Nature.,https://picsum.photos/seed/Selangor15/400/250,4.6,103,Modern,Cendol
Selangor,Selangor District 16,390,113,17,50,A beautiful spot in Selangor perfect for Adventure.,https://picsum.photos/seed/Selangor16/400/250,3.9,13,History,Char Kway Teow
Selangor,Selangor District 17,73,52,73,50,A beautiful spot in Selangor perfect for Foodie.,https://picsum.photos/seed/Selangor17/400/250,4.4,94,Leisure,Satay
Selangor,Selangor District 18,261,96,80,50,A beautiful spot in Selangor perfect for Adventure.,https://picsum.photos/seed/Selangor18/400/250,4.1,31,History,Satay
Selangor,Selangor District 19,152,39,44,50,A beautiful spot in Selangor perfect for History.,https://picsum.photos/seed/Selangor19/400/250,4.8,25,Leisure,Char Kway Teow
Selangor,Selangor District 20,126,80,29,50,A beautiful spot in Selangor perfect for Adventure.,https://picsum.photos/seed/Selangor20/400/250,4.7,92,Modern,Cendol
Selangor,Selangor District 21,353,103,43,50,A beautiful spot in Selangor perfect for Adventure.,https://picsum.photos/seed/Selangor21/400/250,3.6,63,Foodie,Cendol
Selangor,Selangor District 22,315,40,79,50,A beautiful spot in Selangor perfect for Adventure.,https://picsum.photos/seed/Selangor22/400/250,3.6,34,History,Char Kway Teow
Selangor,Selangor District 23,358,102,55,50,A beautiful spot in Selangor perfect for Foodie.,https://picsum.photos/seed/Selangor23/400/250,3.6,80,Nature,Satay
Selangor,Selangor District 24,72,82,69,50,A beautiful spot in Selangor perfect for Modern.,https://picsum.photos/seed/Selangor24/400/250,4.5,79,History,Laksa
Selangor,Selangor District 25,351,88,64,50,A beautiful spot in Selangor perfect for Nature.,https://picsum.photos/seed/Selangor25/400/250,4.7,47,Modern,Cendol
Selangor,Selangor District 26,374,59,35,50,A beautiful spot in Selangor perfect for Modern.,https://picsum.photos/seed/Selangor26/400/250,3.6,76,Foodie,Roti Canai
Selangor,Selangor District 27,234,93,33,50,A beautiful spot in Selangor perfect for Nature.,https://picsum.photos/seed/Selangor27/400/250,5.0,76,Leisure,Cendol
Selangor,Selangor District 28,297,94,12,50,A beautiful spot in Selangor perfect for Leisure.,https://picsum.photos/seed/Selangor28/400/250,4.5,129,Foodie,Nasi Lemak
Selangor,Selangor District 29,335,53,71,50,A beautiful spot in Selangor perfect for Leisure.,https://picsum.photos/seed/Selangor29/400/250,4.5,102,Nature,Laksa
Penang,Penang District 1,104,43,49,50,A beautiful spot in Penang perfect for Foodie.,https://picsum.photos/seed/Penang1/400/250,4.3,69,History,Char Kway Teow
Penang,Penang District 2,306,119,45,50,A beautiful spot in Penang perfect for Modern.,https://picsum.photos/seed/Penang2/400/250,3.8,87,Nature,Cendol
Penang,Penang District 3,193,97,10,50,A beautiful spot in Penang perfect for Foodie.,https://picsum.photos/seed/Penang3/400/250,4.7,25,History,Cendol
Penang,Penang District 4,261,118,31,50,A beautiful spot in Penang perfect for Leisure.,https://picsum.photos/seed/Penang4/400/250,4.5,25,Modern,Cendol
Penang,Penang District 5,332,69,37,50,A beautiful spot in Penang perfect for Nature.,https://picsum.photos/seed/Penang5/400/250,4.6,46,History,Laksa
Penang,Penang District 6,315,99,12,50,A beautiful spot in Penang perfect for Modern.,https://picsum.photos/seed/Penang6/400/250,3.7,126,Adventure,Roti Canai
Penang,Penang District 7,274,99,56,50,A beautiful spot in Penang perfect for Leisure.,https://picsum.photos/seed/Penang7/400/250,4.0,105,Leisure,Laksa
Penang,Penang District 8,354,76,11,50,A beautiful spot in Penang perfect for Nature.,https://picsum.photos/seed/Penang8/400/250,4.4,116,Modern,Roti Canai
Penang,Penang District 9,334,74,16,50,A beautiful spot in Penang perfect for Leisure.,https://picsum.photos/seed/Penang9/400/250,3.7,14,Adventure,Satay
Penang,Penang District 10,327,92,39,50,A beautiful spot in Penang perfect for Adventure.,https://picsum.photos/seed/Penang10/400/250,4.6,19,History,Roti Canai
Penang,Penang District 11,352,50,29,50,A beautiful spot in Penang perfect for Modern.,https://picsum.photos/seed/Penang11/400/250,3.6,45,History,Satay
Penang,Penang District 12,155,85,18,50,A beautiful spot in Penang perfect for Nature.,https://picsum.photos/seed/Penang12/400/250,4.2,42,Modern,Satay
Penang,Penang District 13,176,116,21,50,A beautiful spot in Penang perfect for History.,https://picsum.photos/seed/Penang13/400/250,4.3,129,History,Roti Canai
Penang,Penang District 14,398,89,69,50,A beautiful spot in Penang perfect for Foodie.,https://picsum.photos/seed/Penang14/400/250,4.4,5,History,Laksa
Penang,Penang District 15,366,99,54,50,A beautiful spot in Penang perfect for Adventure.,https://picsum.photos/seed/Penang15/400/250,3.6,16,Adventure,Satay
Penang,Penang District 16,209,107,53,50,A beautiful spot in Penang perfect for Adventure.,https://picsum.photos/seed/Penang16/400/250,4.0,53,Nature,Laksa
Penang,Penang District 17,220,106,45,50,A beautiful spot in Penang perfect for Adventure.,https://picsum.photos/seed/Penang17/400/250,4.4,32,Nature,Cendol
Penang,Penang District 18,247,91,29,50,A beautiful spot in Penang perfect for Foodie.,https://picsum.photos/seed/Penang18/400/250,4.3,133,Modern,Cendol
Penang,Penang District 19,247,55,22,50,A beautiful spot in Penang perfect for Leisure.,https://picsum.photos/seed/Penang19/400/250,4.1,123,Leisure,Cendol
Penang,Penang District 20,396,75,46,50,A beautiful spot in Penang perfect for Modern.,https://picsum.photos/seed/Penang20/400/250,4.5,11,Modern,Cendol
Penang,Penang District 21,222,90,76,50,A beautiful spot in Penang perfect for History.,https://picsum.photos/seed/Penang21/400/250,3.6,95,Modern,Roti Canai
Penang,Penang District 22,97,106,24,50,A beautiful spot in Penang perfect for Nature.,https://picsum.photos/seed/Penang22/400/250,4.1,78,Foodie,Nasi Lemak
Penang,Penang District 23,191,67,68,50,A beautiful spot in Penang perfect for Nature.,https://picsum.photos/seed/Penang23/400/250,4.8,77,Modern,Laksa
Penang,Penang District 24,304,110,18,50,A beautiful spot in Penang perfect for History.,https://picsum.photos/seed/Penang24/400/250,4.7,6,Foodie,Nasi Lemak
Penang,Penang District 25,354,36,31,50,A beautiful spot in Penang perfect for Modern.,https://picsum.photos/seed/Penang25/400/250,4.0,130,Adventure,Laksa
Penang,Penang District 26,314,48,66,50,A beautiful spot in Penang perfect for Modern.,https://picsum.photos/seed/Penang26/400/250,4.1,125,Nature,Char Kway Teow
Penang,Penang District 27,103,92,48,50,A beautiful spot in Penang perfect for Modern.,https://picsum.photos/seed/Penang27/400/250,4.2,57,Leisure,Cendol
Penang,Penang District 28,249,82,70,50,A beautiful spot in Penang perfect for History.,https://picsum.photos/seed/Penang28/400/250,3.6,118,Foodie,Satay
Penang,Penang District 29,320,35,55,50,A beautiful spot in Penang perfect for Adventure.,https://picsum.photos/seed/Penang29/400/250,3.5,36,Leisure,Roti Canai
Johor,Johor District 1,254,99,69,50,A beautiful spot in Johor perfect for History.,https://picsum.photos/seed/Johor1/400/250,4.9,64,Foodie,Cendol
Johor,Johor District 2,171,61,10,50,A beautiful spot in Johor perfect for History.,https://picsum.photos/seed/Johor2/400/250,4.2,54,Leisure,Roti Canai
Johor,Johor District 3,312,102,11,50,A beautiful spot in Johor perfect for Modern.,https://picsum.photos/seed/Johor3/400/250,4.1,52,Modern,Cendol
Johor,Johor District 4,311,63,25,50,A beautiful spot in Johor perfect for History.,https://picsum.photos/seed/Johor4/400/250,3.9,131,Leisure,Nasi Lemak
Johor,Johor District 5,137,44,54,50,A beautiful spot in Johor perfect for Leisure.,https://picsum.photos/seed/Johor5/400/250,4.5,33,Leisure,Satay
Johor,Johor District 6,169,90,70,50,A beautiful spot in Johor perfect for Adventure.,https://picsum.photos/seed/Johor6/400/250,4.8,95,Modern,Roti Canai
Johor,Johor District 7,271,104,63,50,A beautiful spot in Johor perfect for History.,https://picsum.photos/seed/Johor7/400/250,3.9,99,Adventure,Char Kway Teow
Johor,Johor District 8,200,38,44,50,A beautiful spot in Johor perfect for Nature.,https://picsum.photos/seed/Johor8/400/250,4.4,145,History,Satay
Johor,Johor District 9,397,62,79,50,A beautiful spot in Johor perfect for Leisure.,https://picsum.photos/seed/Johor9/400/250,4.4,140,History,Cendol
Johor,Johor District 10,370,118,61,50,A beautiful spot in Johor perfect for Nature.,https://picsum.photos/seed/Johor10/400/250,4.3,116,Nature,Laksa
Johor,Johor District 11,99,95,64,50,A beautiful spot in Johor perfect for Leisure.,https://picsum.photos/seed/Johor11/400/250,4.9,47,Modern,Nasi Lemak
Johor,Johor District 12,282,51,20,50,A beautiful spot in Johor perfect for Adventure.,https://picsum.photos/seed/Johor12/400/250,3.5,104,Nature,Char Kway Teow
Johor,Johor District 13,381,100,25,50,A beautiful spot in Johor perfect for History.,https://picsum.photos/seed/Johor13/400/250,4.6,67,Adventure,Laksa
Johor,Johor District 14,79,88,46,50,A beautiful spot in Johor perfect for History.,https://picsum.photos/seed/Johor14/400/250,4.2,59,Modern,Char Kway Teow
Johor,Johor District 15,265,45,10,50,A beautiful spot in Johor perfect for Foodie.,https://picsum.photos/seed/Johor15/400/250,4.2,32,Leisure,Nasi Lemak
Johor,Johor District 16,309,48,49,50,A beautiful spot in Johor perfect for History.,https://picsum.photos/seed/Johor16/400/250,5.0,5,Adventure,Roti Canai
Johor,Johor District 17,283,107,67,50,A beautiful spot in Johor perfect for Leisure.,https://picsum.photos/seed/Johor17/400/250,4.2,136,History,Cendol
Johor,Johor District 18,125,46,46,50,A beautiful spot in Johor perfect for History.,https://picsum.photos/seed/Johor18/400/250,3.5,72,Foodie,Laksa
Johor,Johor District 19,289,91,62,50,A beautiful spot in Johor perfect for Foodie.,https://picsum.photos/seed/Johor19/400/250,4.3,66,Nature,Laksa
Johor,Johor District 20,317,67,27,50,A beautiful spot in Johor perfect for Leisure.,https://picsum.photos/seed/Johor20/400/250,3.6,126,Foodie,Satay
Johor,Johor District 21,232,44,80,50,A beautiful spot in Johor perfect for Nature.,https://picsum.photos/seed/Johor21/400/250,4.9,67,Leisure,Cendol
Johor,Johor District 22,246,79,42,50,A beautiful spot in Johor perfect for Adventure.,https://picsum.photos/seed/Johor22/400/250,4.1,139,History,Satay
Johor,Johor District 23,247,49,42,50,A beautiful spot in Johor perfect for Modern.,https://picsum.photos/seed/Johor23/400/250,4.6,17,Leisure,Laksa
Johor,Johor District 24,354,55,61,50,A beautiful spot in Johor perfect for History.,https://picsum.photos/seed/Johor24/400/250,4.9,145,History,Char Kway Teow
Johor,Johor District 25,133,69,68,50,A beautiful spot in Johor perfect for History.,https://picsum.photos/seed/Johor25/400/250,4.1,127,Foodie,Nasi Lemak
Johor,Johor District 26,316,64,62,50,A beautiful spot in Johor perfect for Nature.,https://picsum.photos/seed/Johor26/400/250,4.8,137,Modern,Char Kway Teow
Johor,Johor District 27,117,31,33,50,A beautiful spot in Johor perfect for History.,https://picsum.photos/seed/Johor27/400/250,4.7,146,History,Cendol
Johor,Johor District 28,326,103,51,50,A beautiful spot in Johor perfect for Modern.,https://picsum.photos/seed/Johor28/400/250,4.7,63,Modern,Cendol
Johor,Johor District 29,379,107,24,50,A beautiful spot in Johor perfect for Nature.,https://picsum.photos/seed/Johor29/400/250,4.1,4,History,Roti Canai
Perak,Perak District 1,151,75,64,50,A beautiful spot in Perak perfect for Modern.,https://picsum.photos/seed/Perak1/400/250,4.8,22,Nature,Cendol
Perak,Perak District 2,114,102,80,50,A beautiful spot in Perak perfect for Adventure.,https://picsum.photos/seed/Perak2/400/250,4.0,42,Foodie,Roti Canai
Perak,Perak District 3,256,64,14,50,A beautiful spot in Perak perfect for History.,https://picsum.photos/seed/Perak3/400/250,3.8,26,History,Laksa
Perak,Perak District 4,257,43,43,50,A beautiful spot in Perak perfect for Leisure.,https://picsum.photos/seed/Perak4/400/250,4.9,10,Adventure,Cendol
Perak,Perak District 5,55,46,34,50,A beautiful spot in Perak perfect for Leisure.,https://picsum.photos/seed/Perak5/400/250,4.6,43,Adventure,Cendol
Perak,Perak District 6,386,41,68,50,A beautiful spot in Perak perfect for Modern.,https://picsum.photos/seed/Perak6/400/250,3.8,26,Nature,Char Kway Teow
Perak,Perak District 7,74,94,69,50,A beautiful spot in Perak perfect for Foodie.,https://picsum.photos/seed/Perak7/400/250,4.1,148,Modern,Char Kway Teow
Perak,Perak District 8,110,80,33,50,A beautiful spot in Perak perfect for Adventure.,https://picsum.photos/seed/Perak8/400/250,3.8,18,Nature,Nasi Lemak
Perak,Perak District 9,71,50,59,50,A beautiful spot in Perak perfect for Modern.,https://picsum.photos/seed/Perak9/400/250,4.8,35,Adventure,Char Kway Teow
Perak,Perak District 10,176,34,39,50,A beautiful spot in Perak perfect for Nature.,https://picsum.photos/seed/Perak10/400/250,4.5,84,Foodie,Roti Canai
Perak,Perak District 11,70,58,50,50,A beautiful spot in Perak perfect for Nature.,https://picsum.photos/seed/Perak11/400/250,4.0,26,Leisure,Satay
Perak,Perak District 12,291,104,11,50,A beautiful spot in Perak perfect for Modern.,https://picsum.photos/seed/Perak12/400/250,5.0,106,History,Char Kway Teow
Perak,Perak District 13,226,58,60,50,A beautiful spot in Perak perfect for Nature.,https://picsum.photos/seed/Perak13/400/250,3.6,78,Foodie,Satay
Perak,Perak District 14,262,88,74,50,A beautiful spot in Perak perfect for Leisure.,https://picsum.photos/seed/Perak14/400/250,4.1,87,Modern,Cendol
Perak,Perak District 15,199,32,14,50,A beautiful spot in Perak perfect for Nature.,https://picsum.photos/seed/Perak15/400/250,4.3,130,Adventure,Char Kway Teow
Perak,Perak District 16,281,119,42,50,A beautiful spot in Perak perfect for Nature.,https://picsum.photos/seed/Perak16/400/250,4.9,104,History,Nasi Lemak
Perak,Perak District 17,82,111,79,50,A beautiful spot in Perak perfect for Foodie.,https://picsum.photos/seed/Perak17/400/250,4.5,72,Adventure,Laksa
Perak,Perak District 18,219,66,74,50,A beautiful spot in Perak perfect for Adventure.,https://picsum.photos/seed/Perak18/400/250,3.6,83,Adventure,Char Kway Teow
Perak,Perak District 19,316,91,15,50,A beautiful spot in Perak perfect for History.,https://picsum.photos/seed/Perak19/400/250,3.9,146,Leisure,Roti Canai
Perak,Perak District 20,137,37,48,50,A beautiful spot in Perak perfect for Modern.,https://picsum.photos/seed/Perak20/400/250,4.3,67,Leisure,Roti Canai
Perak,Perak District 21,400,88,12,50,A beautiful spot in Perak perfect for Nature.,https://picsum.photos/seed/Perak21/400/250,3.7,61,Nature,Cendol
Perak,Perak District 22,381,53,38,50,A beautiful spot in Perak perfect for Adventure.,https://picsum.photos/seed/Perak22/400/250,4.9,126,Modern,Nasi Lemak
Perak,Perak District 23,225,101,47,50,A beautiful spot in Perak perfect for History.,https://picsum.photos/seed/Perak23/400/250,4.6,65,History,Satay
Perak,Perak District 24,206,31,69,50,A beautiful spot in Perak perfect for Modern.,https://picsum.photos/seed/Perak24/400/250,3.7,117,Modern,Nasi Lemak
Perak,Perak District 25,321,34,38,50,A beautiful spot in Perak perfect for History.,https://picsum.photos/seed/Perak25/400/250,3.8,65,Foodie,Char Kway Teow
Perak,Perak District 26,173,38,50,50,A beautiful spot in Perak perfect for Foodie.,https://picsum.photos/seed/Perak26/400/250,4.7,77,Foodie,Roti Canai
Perak,Perak District 27,241,106,31,50,A beautiful spot in Perak perfect for Leisure.,https://picsum.photos/seed/Perak27/400/250,3.9,50,History,Laksa
Perak,Perak District 28,213,88,47,50,A beautiful spot in Perak perfect for Leisure.,https://picsum.photos/seed/Perak28/400/250,4.1,124,Nature,Roti Canai
Perak,Perak District 29,76,33,13,50,A beautiful spot in Perak perfect for Nature.,https://picsum.photos/seed/Perak29/400/250,3.9,28,History,Char Kway Teow
Melaka,Melaka District 1,249,119,14,50,A beautiful spot in Melaka perfect for Foodie.,https://picsum.photos/seed/Melaka1/400/250,3.6,115,History,Nasi Lemak
Melaka,Melaka District 2,220,83,39,50,A beautiful spot in Melaka perfect for Leisure.,https://picsum.photos/seed/Melaka2/400/250,3.7,95,Nature,Satay
Melaka,Melaka District 3,244,60,41,50,A beautiful spot in Melaka perfect for History.,https://picsum.photos/seed/Melaka3/400/250,3.5,98,Modern,Nasi Lemak
Melaka,Melaka District 4,204,69,21,50,A beautiful spot in Melaka perfect for Modern.,https://picsum.photos/seed/Melaka4/400/250,4.3,137,Nature,Cendol
Melaka,Melaka District 5,173,106,18,50,A beautiful spot in Melaka perfect for Adventure.,https://picsum.photos/seed/Melaka5/400/250,4.2,27,Leisure,Cendol
Melaka,Melaka District 6,190,93,16,50,A beautiful spot in Melaka perfect for Foodie.,https://picsum.photos/seed/Melaka6/400/250,4.5,41,Foodie,Char Kway Teow
Melaka,Melaka District 7,307,119,33,50,A beautiful spot in Melaka perfect for Modern.,https://picsum.photos/seed/Melaka7/400/250,4.2,135,Nature,Roti Canai
Melaka,Melaka District 8,368,114,52,50,A beautiful spot in Melaka perfect for Leisure.,https://picsum.photos/seed/Melaka8/400/250,4.5,76,Foodie,Cendol
Melaka,Melaka District 9,354,96,52,50,A beautiful spot in Melaka perfect for Leisure.,https://picsum.photos/seed/Melaka9/400/250,4.2,61,History,Roti Canai
Melaka,Melaka District 10,146,81,40,50,A beautiful spot in Melaka perfect for History.,https://picsum.photos/seed/Melaka10/400/250,3.8,29,Leisure,Roti Canai
Melaka,Melaka District 11,382,41,63,50,A beautiful spot in Melaka perfect for History.,https://picsum.photos/seed/Melaka11/400/250,4.4,14,Adventure,Laksa
Melaka,Melaka District 12,308,38,28,50,A beautiful spot in Melaka perfect for Leisure.,https://picsum.photos/seed/Melaka12/400/250,3.7,145,Modern,Roti Canai
Melaka,Melaka District 13,161,51,67,50,A beautiful spot in Melaka perfect for Leisure.,https://picsum.photos/seed/Melaka13/400/250,4.7,49,Leisure,Cendol
Melaka,Melaka District 14,303,63,79,50,A beautiful spot in Melaka perfect for Leisure.,https://picsum.photos/seed/Melaka14/400/250,3.9,140,Modern,Laksa
Melaka,Melaka District 15,160,80,19,50,A beautiful spot in Melaka perfect for Adventure.,https://picsum.photos/seed/Melaka15/400/250,4.2,69,Modern,Satay
Melaka,Melaka District 16,110,40,41,50,A beautiful spot in Melaka perfect for Foodie.,https://picsum.photos/seed/Melaka16/400/250,4.7,77,History,Roti Canai
Melaka,Melaka District 17,325,107,15,50,A beautiful spot in Melaka perfect for Leisure.,https://picsum.photos/seed/Melaka17/400/250,3.9,121,Foodie,Char Kway Teow
Melaka,Melaka District 18,341,39,35,50,A beautiful spot in Melaka perfect for Leisure.,https://picsum.photos/seed/Melaka18/400/250,3.9,124,Modern,Laksa
Melaka,Melaka District 19,301,118,69,50,A beautiful spot in Melaka perfect for Leisure.,https://picsum.photos/seed/Melaka19/400/250,4.3,124,Adventure,Roti Canai
Melaka,Melaka District 20,215,34,28,50,A beautiful spot in Melaka perfect for Leisure.,https://picsum.photos/seed/Melaka20/400/250,4.1,60,Nature,Char Kway Teow
Melaka,Melaka District 21,371,115,38,50,A beautiful spot in Melaka perfect for Leisure.,https://picsum.photos/seed/Melaka21/400/250,4.4,69,Modern,Satay
Melaka,Melaka District 22,227,68,76,50,A beautiful spot in Melaka perfect for Nature.,https://picsum.photos/seed/Melaka22/400/250,3.7,22,History,Char Kway Teow
Melaka,Melaka District 23,295,78,65,50,A beautiful spot in Melaka perfect for Leisure.,https://picsum.photos/seed/Melaka23/400/250,4.1,41,Nature,Laksa
